CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_mujeres
05475,MURINDO,0,ANTIOQUIA,0
05036,ANGELOPOLIS,0,ANTIOQUIA,0
05264,ENTRERRIOS,0,ANTIOQUIA,0
05315,GUADALUPE,0,ANTIOQUIA,0
05842,URAMITA,0,ANTIOQUIA,0
05467,MONTEBELLO,0,ANTIOQUIA,0
05004,ABRIAQUI,0,ANTIOQUIA,0
05040,ANORI,1,ANTIOQUIA,.010840109
05030,AMAGA,2,ANTIOQUIA,.012207776
05659,SAN JUAN DE URABA,2,ANTIOQUIA,.018269846
05873,VIGIA DEL FUERTE,1,ANTIOQUIA,.020304568
05642,SALGAR,2,ANTIOQUIA,.020826826
05125,CAICEDO,1,ANTIOQUIA,.022593765
05656,SAN JERONIMO,2,ANTIOQUIA,.023940627
05665,SAN PEDRO DE URABA,4,ANTIOQUIA,.024926778
05647,SAN ANDRES DE CUERQUIA,1,ANTIOQUIA,.026961446
05042,SANTA FE DE ANTIOQUIA,4,ANTIOQUIA,.028431302
05250,EL BAGRE,9,ANTIOQUIA,.031607784
05234,DABEIBA,4,ANTIOQUIA,.033214316
05120,CACERES,5,ANTIOQUIA,.033838656
05483,NARINO,2,ANTIOQUIA,.038022812
05091,BETANIA,2,ANTIOQUIA,.038226299
05364,JARDIN,3,ANTIOQUIA,.038580246
05604,REMEDIOS,6,ANTIOQUIA,.039439954
05480,MUTATA,3,ANTIOQUIA,.040760871
05034,ANDES,9,ANTIOQUIA,.040838551
05206,CONCEPCION,1,ANTIOQUIA,.041322313
05579,PUERTO BERRIO,9,ANTIOQUIA,.043058079
05847,URRAO,7,ANTIOQUIA,.043676298
05670,SAN ROQUE,5,ANTIOQUIA,.044334102
05837,TURBO,31,ANTIOQUIA,.04458379
05150,CAROLINA,1,ANTIOQUIA,.047036689
05138,CANASGORDAS,4,ANTIOQUIA,.049437646
05761,SOPETRAN,4,ANTIOQUIA,.050037529
05658,SAN JOSE DE LA MONTANA,1,ANTIOQUIA,.050403226
05031,AMALFI,7,ANTIOQUIA,.05058169
05885,YALI,2,ANTIOQUIA,.051137816
05809,TITIRIBI,3,ANTIOQUIA,.052273914
05585,PUERTO NARE,4,ANTIOQUIA,.05248655
05368,JERICO,4,ANTIOQUIA,.055370986
05310,GOMEZ PLATA,3,ANTIOQUIA,.057592627
05856,VALPARAISO,2,ANTIOQUIA,.058910161
05893,YONDO,6,ANTIOQUIA,.059707433
05197,COCORNA,5,ANTIOQUIA,.060226452
05667,SAN RAFAEL,5,ANTIOQUIA,.060422961
05501,OLAYA,1,ANTIOQUIA,.060938451
05209,CONCORDIA,7,ANTIOQUIA,.061728396
05086,BELMIRA,2,ANTIOQUIA,.063552588
05664,SAN PEDRO DE LOS MILAGROS,8,ANTIOQUIA,.065816537
05652,SAN FRANCISCO,2,ANTIOQUIA,.066755675
05308,GIRARDOTA,19,ANTIOQUIA,.067099869
05736,SEGOVIA,14,ANTIOQUIA,.068439581
05895,ZARAGOZA,9,ANTIOQUIA,.068550535
05306,GIRALDO,2,ANTIOQUIA,.069589421
05361,ITUANGO,8,ANTIOQUIA,.070640177
05674,SAN VICENTE,8,ANTIOQUIA,.071562752
05101,CIUDAD BOLIVAR,10,ANTIOQUIA,.072785504
05347,HELICONIA,2,ANTIOQUIA,.073394492
05107,BRICENO,3,ANTIOQUIA,.074074075
05059,ARMENIA,2,ANTIOQUIA,.074321814
05051,ARBOLETES,12,ANTIOQUIA,.075060986
05890,YOLOMBO,9,ANTIOQUIA,.076772161
05411,LIBORINA,4,ANTIOQUIA,.077414364
05360,ITAGUI,123,ANTIOQUIA,.078847162
05861,VENECIA,5,ANTIOQUIA,.079126447
05591,PUERTO TRIUNFO,7,ANTIOQUIA,.079617836
05240,EBEJICO,5,ANTIOQUIA,.079910502
05142,CARACOLI,2,ANTIOQUIA,.083682008
05044,ANZA,3,ANTIOQUIA,.083682008
05649,SAN CARLOS,7,ANTIOQUIA,.084735505
05134,CAMPAMENTO,4,ANTIOQUIA,.085324235
05380,LA ESTRELLA,34,ANTIOQUIA,.085724369
05045,APARTADO,60,ANTIOQUIA,.089484125
05284,FRONTINO,10,ANTIOQUIA,.091533184
05147,CAREPA,24,ANTIOQUIA,.091901205
05607,EL RETIRO,12,ANTIOQUIA,.092578307
05679,SANTA BARBARA,13,ANTIOQUIA,.093189962
05390,LA PINTADA,4,ANTIOQUIA,.09418413
05789,TAMESIS,8,ANTIOQUIA,.094607383
05790,TARAZA,14,ANTIOQUIA,.095805109
05129,CALDAS,43,ANTIOQUIA,.095860176
05543,PEQUE,4,ANTIOQUIA,.098643653
05093,BETULIA,8,ANTIOQUIA,.099169455
05038,ANGOSTURA,6,ANTIOQUIA,.1010952
05237,DONMATIAS,11,ANTIOQUIA,.10183299
05154,CAUCASIA,51,ANTIOQUIA,.10247961
05079,BARBOSA,29,ANTIOQUIA,.10339787
05318,GUARNE,31,ANTIOQUIA,.10349548
05495,NECHI,14,ANTIOQUIA,.10459469
05113,BURITICA,5,ANTIOQUIA,.10490978
05628,SABANALARGA,5,ANTIOQUIA,.1091703
05440,MARINILLA,40,ANTIOQUIA,.11259042
05376,LA CEJA,41,ANTIOQUIA,.11335674
05490,NECOCLI,26,ANTIOQUIA,.11355695
05660,SAN LUIS,8,ANTIOQUIA,.11413896
05021,ALEJANDRIA,3,ANTIOQUIA,.12155592
05541,EL PENOL,14,ANTIOQUIA,.1219831
05854,VALDIVIA,9,ANTIOQUIA,.12234911
05686,SANTA ROSA DE OSOS,24,ANTIOQUIA,.12285012
05172,CHIGORODO,40,ANTIOQUIA,.12450974
05148,EL CARMEN DE VIBORAL,41,ANTIOQUIA,.12662528
05631,SABANETA,61,ANTIOQUIA,.12802754
05690,SANTO DOMINGO,8,ANTIOQUIA,.12828736
05055,ARGELIA,5,ANTIOQUIA,.12873326
05266,ENVIGADO,174,ANTIOQUIA,.13058749
05697,EL SANTUARIO,27,ANTIOQUIA,.1349865
05001,MEDELLIN,1889,ANTIOQUIA,.13757522
05088,BELLO,408,ANTIOQUIA,.14008728
05282,FREDONIA,18,ANTIOQUIA,.14014326
05756,SONSON,27,ANTIOQUIA,.14218758
05858,VEGACHI,9,ANTIOQUIA,.14319809
05190,CISNEROS,8,ANTIOQUIA,.14692378
05212,COPACABANA,64,ANTIOQUIA,.14893419
05792,TARSO,5,ANTIOQUIA,.15243903
05819,TOLEDO,4,ANTIOQUIA,.16280016
05313,GRANADA,9,ANTIOQUIA,.16663581
05887,YARUMAL,41,ANTIOQUIA,.18099947
05145,CARAMANTA,5,ANTIOQUIA,.20308693
05615,RIONEGRO,166,ANTIOQUIA,.22328034
05425,MACEO,11,ANTIOQUIA,.25165865
05576,PUEBLORRICO,12,ANTIOQUIA,.26269701
05353,HISPANIA,8,ANTIOQUIA,.27548209
05400,LA UNION,33,ANTIOQUIA,.28282481
05321,GUATAPE,15,ANTIOQUIA,.3267262
05002,ABEJORRAL,38,ANTIOQUIA,.37401575
