CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,id_data,variable,id_nivel,id_time,time,ct_type
05001,MEDELLIN,2857,1,saldo,municipal,1,2023,ninguno
05002,ABEJORRAL,62,1,saldo,municipal,1,2023,ninguno
05021,ALEJANDRIA,3,1,saldo,municipal,1,2023,ninguno
05030,AMAGA,2,1,saldo,municipal,1,2023,ninguno
05031,AMALFI,16,1,saldo,municipal,1,2023,ninguno
05034,ANDES,19,1,saldo,municipal,1,2023,ninguno
05036,ANGELOPOLIS,2,1,saldo,municipal,1,2023,ninguno
05038,ANGOSTURA,6,1,saldo,municipal,1,2023,ninguno
05040,ANORI,2,1,saldo,municipal,1,2023,ninguno
05042,SANTA FE DE ANTIOQUIA,10,1,saldo,municipal,1,2023,ninguno
05044,ANZA,6,1,saldo,municipal,1,2023,ninguno
05045,APARTADO,84,1,saldo,municipal,1,2023,ninguno
05051,ARBOLETES,20,1,saldo,municipal,1,2023,ninguno
05055,ARGELIA,10,1,saldo,municipal,1,2023,ninguno
05059,ARMENIA,2,1,saldo,municipal,1,2023,ninguno
05079,BARBOSA,46,1,saldo,municipal,1,2023,ninguno
05086,BELMIRA,2,1,saldo,municipal,1,2023,ninguno
05088,BELLO,623,1,saldo,municipal,1,2023,ninguno
05091,BETANIA,3,1,saldo,municipal,1,2023,ninguno
05093,BETULIA,16,1,saldo,municipal,1,2023,ninguno
05101,CIUDAD BOLIVAR,16,1,saldo,municipal,1,2023,ninguno
05107,BRICENO,6,1,saldo,municipal,1,2023,ninguno
05113,BURITICA,10,1,saldo,municipal,1,2023,ninguno
05120,CACERES,8,1,saldo,municipal,1,2023,ninguno
05125,CAICEDO,3,1,saldo,municipal,1,2023,ninguno
05129,CALDAS,60,1,saldo,municipal,1,2023,ninguno
05134,CAMPAMENTO,6,1,saldo,municipal,1,2023,ninguno
05138,CANASGORDAS,5,1,saldo,municipal,1,2023,ninguno
05142,CARACOLI,3,1,saldo,municipal,1,2023,ninguno
05145,CARAMANTA,5,1,saldo,municipal,1,2023,ninguno
05147,CAREPA,40,1,saldo,municipal,1,2023,ninguno
05148,EL CARMEN DE VIBORAL,66,1,saldo,municipal,1,2023,ninguno
05150,CAROLINA,4,1,saldo,municipal,1,2023,ninguno
05154,CAUCASIA,72,1,saldo,municipal,1,2023,ninguno
05172,CHIGORODO,51,1,saldo,municipal,1,2023,ninguno
05190,CISNEROS,10,1,saldo,municipal,1,2023,ninguno
05197,COCORNA,6,1,saldo,municipal,1,2023,ninguno
05206,CONCEPCION,2,1,saldo,municipal,1,2023,ninguno
05209,CONCORDIA,11,1,saldo,municipal,1,2023,ninguno
05212,COPACABANA,100,1,saldo,municipal,1,2023,ninguno
05234,DABEIBA,6,1,saldo,municipal,1,2023,ninguno
05237,DONMATIAS,15,1,saldo,municipal,1,2023,ninguno
05240,EBEJICO,6,1,saldo,municipal,1,2023,ninguno
05250,EL BAGRE,13,1,saldo,municipal,1,2023,ninguno
05264,ENTRERRIOS,6,1,saldo,municipal,1,2023,ninguno
05266,ENVIGADO,242,1,saldo,municipal,1,2023,ninguno
05282,FREDONIA,22,1,saldo,municipal,1,2023,ninguno
05284,FRONTINO,13,1,saldo,municipal,1,2023,ninguno
05306,GIRALDO,3,1,saldo,municipal,1,2023,ninguno
05308,GIRARDOTA,33,1,saldo,municipal,1,2023,ninguno
05310,GOMEZ PLATA,5,1,saldo,municipal,1,2023,ninguno
05313,GRANADA,10,1,saldo,municipal,1,2023,ninguno
05318,GUARNE,55,1,saldo,municipal,1,2023,ninguno
05321,GUATAPE,27,1,saldo,municipal,1,2023,ninguno
05347,HELICONIA,6,1,saldo,municipal,1,2023,ninguno
05353,HISPANIA,13,1,saldo,municipal,1,2023,ninguno
05360,ITAGUI,198,1,saldo,municipal,1,2023,ninguno
05361,ITUANGO,10,1,saldo,municipal,1,2023,ninguno
05364,JARDIN,4,1,saldo,municipal,1,2023,ninguno
05368,JERICO,6,1,saldo,municipal,1,2023,ninguno
05376,LA CEJA,81,1,saldo,municipal,1,2023,ninguno
05380,LA ESTRELLA,48,1,saldo,municipal,1,2023,ninguno
05390,LA PINTADA,8,1,saldo,municipal,1,2023,ninguno
05400,LA UNION,52,1,saldo,municipal,1,2023,ninguno
05411,LIBORINA,4,1,saldo,municipal,1,2023,ninguno
05425,MACEO,12,1,saldo,municipal,1,2023,ninguno
05440,MARINILLA,68,1,saldo,municipal,1,2023,ninguno
05475,MURINDO,1,1,saldo,municipal,1,2023,ninguno
05480,MUTATA,4,1,saldo,municipal,1,2023,ninguno
05483,NARINO,5,1,saldo,municipal,1,2023,ninguno
05490,NECOCLI,40,1,saldo,municipal,1,2023,ninguno
05495,NECHI,18,1,saldo,municipal,1,2023,ninguno
05501,OLAYA,2,1,saldo,municipal,1,2023,ninguno
05541,EL PENOL,28,1,saldo,municipal,1,2023,ninguno
05543,PEQUE,5,1,saldo,municipal,1,2023,ninguno
05576,PUEBLORRICO,15,1,saldo,municipal,1,2023,ninguno
05579,PUERTO BERRIO,15,1,saldo,municipal,1,2023,ninguno
05585,PUERTO NARE,6,1,saldo,municipal,1,2023,ninguno
05591,PUERTO TRIUNFO,15,1,saldo,municipal,1,2023,ninguno
05604,REMEDIOS,11,1,saldo,municipal,1,2023,ninguno
05607,EL RETIRO,16,1,saldo,municipal,1,2023,ninguno
05615,RIONEGRO,254,1,saldo,municipal,1,2023,ninguno
05628,SABANALARGA,6,1,saldo,municipal,1,2023,ninguno
05631,SABANETA,90,1,saldo,municipal,1,2023,ninguno
05642,SALGAR,5,1,saldo,municipal,1,2023,ninguno
05647,SAN ANDRES DE CUERQUIA,1,1,saldo,municipal,1,2023,ninguno
05649,SAN CARLOS,10,1,saldo,municipal,1,2023,ninguno
05652,SAN FRANCISCO,3,1,saldo,municipal,1,2023,ninguno
05656,SAN JERONIMO,4,1,saldo,municipal,1,2023,ninguno
05658,SAN JOSE DE LA MONTANA,2,1,saldo,municipal,1,2023,ninguno
05659,SAN JUAN DE URABA,5,1,saldo,municipal,1,2023,ninguno
05660,SAN LUIS,11,1,saldo,municipal,1,2023,ninguno
05664,SAN PEDRO DE LOS MILAGROS,14,1,saldo,municipal,1,2023,ninguno
05665,SAN PEDRO DE URABA,9,1,saldo,municipal,1,2023,ninguno
05667,SAN RAFAEL,7,1,saldo,municipal,1,2023,ninguno
05670,SAN ROQUE,6,1,saldo,municipal,1,2023,ninguno
05674,SAN VICENTE,11,1,saldo,municipal,1,2023,ninguno
05679,SANTA BARBARA,21,1,saldo,municipal,1,2023,ninguno
05686,SANTA ROSA DE OSOS,40,1,saldo,municipal,1,2023,ninguno
05690,SANTO DOMINGO,11,1,saldo,municipal,1,2023,ninguno
05697,EL SANTUARIO,45,1,saldo,municipal,1,2023,ninguno
05736,SEGOVIA,21,1,saldo,municipal,1,2023,ninguno
05756,SONSON,39,1,saldo,municipal,1,2023,ninguno
05761,SOPETRAN,10,1,saldo,municipal,1,2023,ninguno
05789,TAMESIS,8,1,saldo,municipal,1,2023,ninguno
05790,TARAZA,21,1,saldo,municipal,1,2023,ninguno
05792,TARSO,7,1,saldo,municipal,1,2023,ninguno
05809,TITIRIBI,5,1,saldo,municipal,1,2023,ninguno
05819,TOLEDO,5,1,saldo,municipal,1,2023,ninguno
05837,TURBO,45,1,saldo,municipal,1,2023,ninguno
05847,URRAO,9,1,saldo,municipal,1,2023,ninguno
05854,VALDIVIA,14,1,saldo,municipal,1,2023,ninguno
05856,VALPARAISO,3,1,saldo,municipal,1,2023,ninguno
05858,VEGACHI,13,1,saldo,municipal,1,2023,ninguno
05861,VENECIA,8,1,saldo,municipal,1,2023,ninguno
05873,VIGIA DEL FUERTE,1,1,saldo,municipal,1,2023,ninguno
05885,YALI,3,1,saldo,municipal,1,2023,ninguno
05887,YARUMAL,59,1,saldo,municipal,1,2023,ninguno
05890,YOLOMBO,12,1,saldo,municipal,1,2023,ninguno
05893,YONDO,11,1,saldo,municipal,1,2023,ninguno
05895,ZARAGOZA,15,1,saldo,municipal,1,2023,ninguno
